Timestamp,Which format do you prefer to read from?,Choice of pairing beverage?,Do you ever listen to music while reading?,How do you want to read paperbacks/hardcovers ?,How many books have you read during the last six months?,Do you want to connect with fellow book readers?,What genres do you enjoy reading?
03/08/21 12:04,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,5,Yes! no. Well maybe....,"Fiction, Business, Philosophy"
03/08/21 12:34,Hard cover,Tea,Nope,I wish I could read them without buying a lot of books,5,Yes! no. Well maybe....,"Fiction, Science fiction, Religion, Film and photography, Humour, Travel"
03/08/21 13:05,Paperback,Coffee,"Yes, like my life",I want to build a library duh!,4,Yes! no. Well maybe....,"Fiction, Science fiction, Philosophy, Humour, Romance, Travel"
03/08/21 13:11,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,7,Yes,"Business, Literature, Romance, Poetry"
03/08/21 13:49,Ebook,Depends upon mood and time of day,Nope,I wish I could read them without buying a lot of books,5,Yes,"Fiction, Science fiction, Film and photography, Biography, Politics, Romance, Travel"
03/08/21 15:59,Ebook,Coffee,Nope,I wish I could read them without buying a lot of books,1,No,"Literature, Religion"
03/08/21 16:05,Hard cover,Coffee,Nope,I want to build a library duh!,3,Yes,"Biography, Travel"
03/08/21 16:06,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,6,Yes,"Fiction, Literature, History, Biography, Travel"
03/08/21 17:23,Paperback,I do not drink but I know things,Nope,I want to build a library duh!,4,Yes! no. Well maybe....,"Literature, Religion, History, Travel"
03/08/21 17:28,Ebook,Coffee,Nope,I want to build a library duh!,10,Yes,"Fiction, Science fiction, Business, Philosophy, Biography, Politics, Travel"
03/08/21 17:31,Ebook,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,5,Yes! no. Well maybe....,Science fiction
03/08/21 17:35,Paperback,Coffee,Nope,I want to build a library duh!,10,No,"None other than those required for my coursework, Fiction, Science fiction, Business, Literature, Biography, Humour, Romance"
03/08/21 17:37,Ebook,Tea,Nope,I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,"Fiction, Business, Philosophy, Religion, Politics"
03/08/21 17:39,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,4,Yes! no. Well maybe....,"Fiction, Science fiction, Literature, Religion, History, Romance"
03/08/21 17:40,Hard cover,Alcohol,"Yes, like my life",I wish I could read them without buying a lot of books,3,No,"None other than those required for my coursework, Humour"
03/08/21 17:42,Hard cover,Coffee,Nope,I wish I could read them without buying a lot of books,4,Yes! no. Well maybe....,"Fiction, Science fiction"
03/08/21 17:48,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,7,Yes! no. Well maybe....,"Fiction, Science fiction, Business, History, Film and photography, Politics, Humour, Travel"
03/08/21 17:49,Ebook,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,5,Yes,"Fiction, Science fiction, Philosophy, History, Travel"
03/08/21 17:49,Ebook,Tea,Nope,I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,Science fiction
03/08/21 17:52,Paperback,Tea,Nope,I wish I could read them without buying a lot of books,3,Yes,Fiction
03/08/21 17:52,Paperback,Coffee,"Yes, like my life",I want to build a library duh!,6,Yes,"Fiction, Science fiction, Literature, Philosophy, Religion, Biography, Humour"
03/08/21 17:53,Hard cover,Coffee,Nope,I wish I could read them without buying a lot of books,4,Yes,"Fiction, History"
03/08/21 17:56,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,1,Yes,"Fiction, Politics"
03/08/21 17:57,Paperback,Tea,Nope,I wish I could read them without buying a lot of books,2,Yes,"Business, Literature, History, Biography, Politics"
03/08/21 17:58,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,3,Yes,Business
03/08/21 17:58,Hard cover,I do not drink but I know things,Nope,I want to build a library duh!,4,Yes! no. Well maybe....,"Fiction, Business, Philosophy, History, Politics, Romance, Travel"
03/08/21 18:01,Paperback,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,2,Yes,"Fiction, Science fiction, Religion, History, Biography"
03/08/21 18:01,Hard cover,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,2,No,"Fiction, Science fiction, Economics"
03/08/21 18:02,Audiobook,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Business, History, Film and photography, Biography, Romance, Travel"
03/08/21 18:06,Hard cover,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,2,Yes,"Fiction, History, Film and photography, Politics, Romance"
03/08/21 18:08,Audiobook,Coffee,Nope,I wish I could read them without buying a lot of books,1,No,"Business, Politics, Travel, Autobiography "
03/08/21 18:09,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,4,Yes! no. Well maybe....,"Fiction, Science fiction"
03/08/21 18:12,Ebook,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,2,Yes,"Fiction, Business, Religion, Humour, Romance"
03/08/21 18:13,Ebook,Alcohol,Nope,I wish I could read them without buying a lot of books,3,No,"Science fiction, History"
03/08/21 18:13,Paperback,Tea,Nope,I wish I could read them without buying a lot of books,7,No,"Business, Tech Stuff"
03/08/21 18:16,Paperback,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,2,No,"Humour, Travel, Something else"
03/08/21 18:16,Hard cover,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,10,Yes! no. Well maybe....,"Fiction, Science fiction, Literature, Philosophy, History, Biography, Romance, Something else"
03/08/21 18:17,Paperback,Coffee,Nope,I want to build a library duh!,2,Yes! no. Well maybe....,"Fiction, Science fiction, Literature, Philosophy, History, Biography, Romance"
03/08/21 18:20,Paperback,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Fiction, Science fiction, Humour, Travel"
03/08/21 18:20,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,4,Yes,"Fiction, Science fiction, Business, Philosophy"
03/08/21 18:20,Hard cover,Coffee,Nope,I want to build a library duh!,1,Yes! no. Well maybe....,"Business, Philosophy, Humour"
03/08/21 18:22,Audiobook,Tea,Nope,I wish I could read them without buying a lot of books,1,No,History
03/08/21 18:23,Hard cover,I do not drink but I know things,Nope,I want to build a library duh!,4,Yes! no. Well maybe....,"Fiction, Science fiction, Philosophy, History, Humour"
03/08/21 18:25,Paperback,I do not drink but I know things,Nope,I want to build a library duh!,1,Yes,"Fiction, Science fiction, Philosophy, Religion"
03/08/21 18:29,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,5,Yes,"Fiction, Business, Philosophy, Biography, Humour, Romance"
03/08/21 18:30,Ebook,Coffee,Nope,I wish I could read them without buying a lot of books,10,Yes,"Business, Philosophy, History"
03/08/21 18:36,Hard cover,Coffee,Nope,I want to build a library duh!,3,Yes! no. Well maybe....,"Fiction, Science fiction, Business"
03/08/21 18:38,Hard cover,Coffee,Nope,I wish I could read them without buying a lot of books,2,Yes,"Fiction, Philosophy, History"
03/08/21 18:41,Paperback,Juice,Nope,I wish I could read them without buying a lot of books,2,Yes! no. Well maybe....,Mystery and thriller
03/08/21 18:41,Paperback,I drink but not with books,Nope,I want to build a library duh!,4,Yes,Fiction
03/08/21 18:42,Paperback,Coffee,Nope,I want to build a library duh!,3,Yes,"Business, History, Biography, Politics, Humour, Romance, Travel, Something else"
03/08/21 18:42,Ebook,Coffee,Nope,I wish I could read them without buying a lot of books,1,No,"Fiction, Science fiction, Biography"
03/08/21 18:54,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,5,No,"Religion, Film and photography, Biography, Travel"
03/08/21 19:07,Audiobook,I do not drink but I know things,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Science fiction, Biography"
03/08/21 19:11,Hard cover,Tea,Nope,I want to build a library duh!,3,Yes,"Philosophy, Religion, History, Politics"
03/08/21 19:28,Paperback,I do not drink but I know things,Nope,I want to build a library duh!,3,Yes! no. Well maybe....,"Fiction, Business, Biography, Romance"
03/08/21 19:45,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,3,Yes,"Biography, Non Fiction, Self development, Science"
03/08/21 19:51,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Fiction, Science fiction, Business, Romance"
03/08/21 19:55,Ebook,Coffee,Nope,I want to build a library duh!,10,Yes,"Fiction, Science fiction, Business, Literature, History, Humour, Romance"
03/08/21 19:58,Paperback,Tea,Nope,I want to build a library duh!,2,Yes,"Literature, Philosophy, History"
03/08/21 20:00,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,2,No,"Science fiction, Business"
03/08/21 20:04,Hard cover,Tea,Nope,I want to build a library duh!,3,Yes,Business
03/08/21 20:05,Hard cover,Tea,Nope,I wish I could read them without buying a lot of books,4,Yes,"Fiction, Humour, Romance"
03/08/21 20:12,Hard cover,Tea,Nope,I wish I could read them without buying a lot of books,2,Yes,Science fiction
03/08/21 20:14,Paperback,Tea,Nope,I want to build a library duh!,1,Yes! no. Well maybe....,"Fiction, Literature, Humour, Romance"
03/08/21 20:18,Paperback,Coffee,Nope,I want to build a library duh!,7,Yes! no. Well maybe....,"Fiction, Science fiction, Philosophy, Romance, Something else"
03/08/21 20:28,Paperback,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,10,Yes! no. Well maybe....,"Science fiction, Business, History, Biography"
03/08/21 20:28,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"None other than those required for my coursework, Fiction, Science fiction, Humour"
03/08/21 20:45,Paperback,I do not drink but I know things,Nope,I want to build a library duh!,5,Yes,"Fiction, Philosophy, Humour, Romance"
03/08/21 20:48,Paperback,Coffee,Nope,I want to build a library duh!,4,Yes,"Fiction, Literature, Philosophy, Humour"
03/08/21 20:51,Paperback,I do not drink but I know things,Nope,I want to build a library duh!,5,No,"Fiction, Philosophy, Religion, History, Biography, Travel, In fiction- fantasy fiction to be exact. Adventure books. Enid Blyton( a little kiddish ik). I also would like to read all the Vedas one by one."
03/08/21 20:52,Audiobook,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,5,Yes! no. Well maybe....,"Fiction, Science fiction, Philosophy, Biography, Humour, Romance, Travel"
03/08/21 20:57,Paperback,Coffee,Nope,I want to build a library duh!,9,Yes,"Fiction, Literature, Philosophy, History, Politics, Romance"
03/08/21 21:39,Paperback,Tea,"Yes, like my life",I want to build a library duh!,4,Yes! no. Well maybe....,"Fiction, Literature, Religion, Politics"
03/08/21 21:45,Ebook,Coffee,Nope,I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Fiction, Humour, Romance"
03/08/21 22:13,Paperback,Coffee,Nope,I want to build a library duh!,4,Yes,Fiction
03/08/21 22:14,Paperback,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,5,No,"Fiction, Biography, Romance, Travel"
03/08/21 22:26,Ebook,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,"Fiction, Science fiction, Business, Religion, History, Film and photography, Politics, Humour, Romance, Travel"
03/08/21 22:39,Hard cover,Coffee,Nope,I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,"Fiction, Literature, Biography, Humour, Romance, Travel"
03/08/21 22:40,Ebook,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,4,Yes! no. Well maybe....,"Fiction, Humour, Romance, Travel"
03/08/21 23:01,Ebook,Coffee,Nope,I want to build a library duh!,1,Yes! no. Well maybe....,Business
03/08/21 23:08,Paperback,Tea,"Yes, like my life",I want to build a library duh!,6,Yes,"Fiction, Science fiction, Humour"
03/08/21 23:15,Paperback,Alcohol,Nope,I wish I could read them without buying a lot of books,3,No,"Literature, History, Crime, investigative, war. "
03/08/21 23:47,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,1,Yes,"Fiction, Literature, Romance"
03/09/21 0:07,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,2,No,"Fiction, Philosophy"
03/09/21 0:14,Hard cover,No drink necessary,Nope,I want to build a library duh!,2,Yes! no. Well maybe....,"Fiction, Business"
03/09/21 0:15,Ebook,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,4,Yes! no. Well maybe....,"Fiction, Science fiction, Philosophy, Romance"
03/09/21 0:19,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,1,No,None other than those required for my coursework
03/09/21 0:27,Hard cover,Coffee,"Yes, like my life",I want to build a library duh!,3,Yes! no. Well maybe....,"Fiction, Science fiction, Literature, Humour, Romance"
03/09/21 6:17,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,4,Yes,"Fiction, Science fiction, Business, Literature, Philosophy, History, Film and photography, Biography, Politics, Humour"
03/09/21 7:21,Ebook,Tea,"Yes, like my life",I want to build a library duh!,10,Yes,"Business, Literature, Politics"
03/09/21 7:33,Paperback,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,2,Yes! no. Well maybe....,"Fiction, Science fiction, Film and photography, Humour"
03/09/21 7:52,Hard cover,Coffee,Nope,I want to build a library duh!,5,Yes! no. Well maybe....,"Fiction, Business"
03/09/21 8:02,Paperback,There is no connection between books and beverage,Nope,I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,"Fiction, Science fiction, History"
03/09/21 8:07,Ebook,Tea,Nope,I wish I could read them without buying a lot of books,4,Yes,Humour
03/09/21 8:46,Paperback,None,Nope,I want to build a library duh!,5,Yes! no. Well maybe....,"Fiction, Philosophy, Humour, Romance"
03/09/21 9:21,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,2,Yes,"Fiction, Cosmology"
03/09/21 10:06,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Fiction, Philosophy, Biography, Romance"
03/09/21 10:18,Hard cover,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Politics, Romance"
03/09/21 11:24,Ebook,Tea,Nope,I wish I could read them without buying a lot of books,1,No,Romance
03/09/21 11:31,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,"Fiction, Humour, Romance, Travel"
03/09/21 11:44,Hard cover,I do not drink but I know things,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes,"Fiction, History, Biography, Humour, Romance, Travel"
03/09/21 12:04,Hard cover,Alcohol,"Yes, like my life",I wish I could read them without buying a lot of books,4,Yes,"Fiction, Literature, Philosophy, Humour, Romance"
03/09/21 12:53,Hard cover,Tea,Nope,I want to build a library duh!,8,Yes,"Religion, History, Politics, Travel"
03/09/21 12:59,Ebook,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,10,Yes! no. Well maybe....,Computer Science and Maths books
03/09/21 13:06,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,4,Yes! no. Well maybe....,"Fiction, Science fiction, Business, Literature, Philosophy, Religion, History, Politics, Travel, Something else"
03/09/21 13:08,Hard cover,Coffee,Nope,I want to build a library duh!,6,Yes,"Fiction, Science fiction"
03/09/21 13:57,Hard cover,I do not drink but I know things,Nope,I want to build a library duh!,6,Yes,"Fiction, Philosophy, Humour, Romance, Something else, Thriller "
03/09/21 14:06,Paperback,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes,"Fiction, Literature, Humour"
03/09/21 15:12,Hard cover,I do not drink but I know things,"Yes, like my life",I wish I could read them without buying a lot of books,5,Yes,"Fiction, Business, Literature, Religion, History, Romance"
03/09/21 15:52,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,5,Yes,"Philosophy, Religion"
03/09/21 16:18,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,3,Yes,"Science fiction, Business"
03/09/21 19:45,Paperback,Tea,Nope,I want to build a library duh!,3,Yes,"Fiction, Science fiction, Business, Philosophy, Biography, Travel"
03/09/21 21:44,Hard cover,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes,"Film and photography, Biography, Travel"
03/10/21 10:26,Paperback,Tea,Nope,I want to build a library duh!,3,Yes,"Fiction, Biography"
03/11/21 18:24,Paperback,Coffee,Nope,I want to build a library duh!,5,Yes,"Fiction, Science fiction, Literature, Philosophy, History, Politics, Romance"
03/11/21 20:13,Hard cover,I do not drink but I know things,Nope,I want to build a library duh!,7,Yes! no. Well maybe....,"Fiction, Science fiction, Humour"
03/13/21 13:58,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,5,Yes! no. Well maybe....,"Fiction, Science fiction, Religion, Film and photography, Humour, Romance, Travel"
03/14/21 21:50,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,Something else
03/15/21 0:13,Paperback,Tea,Nope,I wish I could read them without buying a lot of books,1,Yes,"Fiction, Science fiction, Biography, Humour, Romance"
